映像名称                       PID 会话名              会话#       内存使用
RuntimeBroker.exe            10972 Console                    6     21,696 K
RuntimeBroker.exe            19160 Console                    6     23,812 K
ctfmon.exe                    3752 Console                    6     14,464 K
TabTip.exe                   19304 Console                    6      6,240 K
SettingSyncHost.exe          14080 Console                    6     12,632 K
WindowsInternal.Composabl     1664 Console                    6     13,248 K
ChsIME.exe                    2980 Console                    6      1,448 K
QQPYService.exe              17376 Console                    6     15,324 K
QQPYClipMonitor.exe           8540 Console                    6     38,704 K
QQPCTray.exe                 18024 Console                    6     57,432 K
RuntimeBroker.exe             7736 Console                    6     16,400 K
RAVBg64.exe                   6756 Console                    6      3,572 K
RAVBg64.exe                   8220 Console                    6      3,564 K
MySQLNotifier.exe            15444 Console                    6     11,380 K
360bdoctor.exe               14116 Console                    6      4,604 K
AutodeskDesktopApp.exe        5544 Console                    6      8,528 K
AcWebBrowser.exe             11432 Console                    6     16,920 K
AcWebBrowser.exe              4492 Console                    6     12,632 K
AcWebBrowser.exe             15900 Console                    6     71,696 K
svchost.exe                  17600 Console                    6     11,744 K
sppsvc.exe                   18740 Services                   0      8,376 K
AppVShNotify.exe             16568 Console                    6        444 K
SearchIndexer.exe            19344 Services                   0     39,880 K
dllhost.exe                  19180 Console                    6      5,056 K
Lsf.exe                      14516 Console                    6      2,100 K
ApplicationFrameHost.exe      6732 Console                    6     25,500 K
WinStore.App.exe             13824 Console                    6         60 K
RuntimeBroker.exe             9640 Console                    6     14,136 K
Video.UI.exe                  3656 Console                    6     14,944 K
SystemSettings.exe            7476 Console                    6         32 K
svchost.exe                   6456 Services                   0      2,552 K
Lenovo.Modern.ImControlle    17300 Console                    6     49,712 K
Lenovo.Modern.ImControlle     9048 Console                    6     16,448 K
SkypeHost.exe                10380 Console                    6     11,816 K
RuntimeBroker.exe            18656 Console                    6      5,892 K
RuntimeBroker.exe            15048 Console                    6     10,224 K
LockApp.exe                  12568 Console                    6     41,616 K
RuntimeBroker.exe            18636 Console                    6     25,564 K
git-bash.exe                 10804 Console                    6      2,608 K
mintty.exe                    4320 Console                    6     24,556 K
conhost.exe                  18384 Console                    6      3,912 K
bash.exe                     17520 Console                    6      3,324 K
bash.exe                     10820 Console                    6      1,728 K
jupyter.exe                  19000 Console                    6      2,100 K
python.exe                   14072 Console                    6      3,756 K
jupyter-notebook.exe          8384 Console                    6      2,088 K
python.exe                   17792 Console                    6     33,856 K
chrome.exe                   12384 Console                    6    136,628 K
chrome.exe                   18436 Console                    6      5,408 K
chrome.exe                   10284 Console                    6      5,080 K
chrome.exe                   15000 Console                    6    102,104 K
chrome.exe                     888 Console                    6    178,124 K
python.exe                   15772 Console                    6      6,516 K
Acrobat.exe                  18624 Console                    6    173,984 K
AcroCEF.exe                  11200 Console                    6     19,484 K
AcroCEF.exe                   5540 Console                    6     18,100 K
WeChat.exe                   13556 Console                    6    114,440 K
WeChatWeb.exe                16172 Console                    6     25,192 K
MindManager.exe               3084 Console                    6     95,524 K
QQBrowser.exe                13492 Console                    6     54,328 K
